TimeStamp,Distance Over Ground(m),Lat (deg),Lon (deg)
2022-03-19 05:37:00,107,26.525890000000004,-18.61153
2022-03-19 05:32:00,79,26.52661,-18.61174
2022-03-19 05:27:00,78,26.52722,-18.61185
2022-03-19 05:22:00,68,26.52784,-18.61206
2022-03-19 05:17:00,74,26.5284,-18.61226
2022-03-19 05:12:00,66,26.52898,-18.61251
2022-03-19 05:07:00,72,26.52947,-18.6128
2022-03-19 05:02:00,84,26.53007,-18.61298
2022-03-19 04:57:00,74,26.5304,-18.61336
2022-03-19 04:52:00,70,26.53094,-18.61375
2022-03-19 04:47:00,64,26.53131,-18.61423
2022-03-19 04:42:00,78,26.53168,-18.6146
2022-03-19 04:37:00,55,26.53218,-18.61514
2022-03-19 04:34:00,57,26.53248,-18.61553
2022-03-19 04:32:00,152,26.53281,-18.61603
2022-03-19 04:27:00,153,26.53339,-18.61732
2022-03-19 04:22:00,153,26.53396,-18.61874
2022-03-19 04:17:00,161,26.534540000000003,-18.62013
2022-03-19 04:12:00,144,26.53508,-18.62164
2022-03-19 04:07:00,153,26.53571,-18.62293
2022-03-19 04:02:00,146,26.53628,-18.62431
2022-03-19 03:57:00,152,26.53685,-18.62562
2022-03-19 03:52:00,157,26.53738,-18.62698
2022-03-19 03:47:00,154,26.53794000000001,-18.62844
2022-03-19 03:42:00,140,26.538490000000003,-18.62986
2022-03-19 03:37:00,142,26.53898,-18.63118
2022-03-19 03:32:00,156,26.5395,-18.63248
2022-03-19 03:27:00,145,26.54,-18.63393
2022-03-19 03:22:00,133,26.54053,-18.63519
2022-03-19 03:17:00,131,26.5411,-18.63642
2022-03-19 03:12:00,122,26.54165,-18.63754
2022-03-19 03:07:00,125,26.54211,-18.63862
2022-03-19 03:02:00,135,26.54263,-18.63973
2022-03-19 02:57:00,140,26.54312,-18.64094
2022-03-19 02:52:00,135,26.54361,-18.64224
2022-03-19 02:47:00,148,26.54416,-18.64342000000001
2022-03-19 02:42:00,144,26.54465,-18.64478
2022-03-19 02:37:00,148,26.54513,-18.64615
2022-03-19 02:32:00,142,26.54556,-18.64752
2022-03-19 02:27:00,153,26.54608,-18.64881
2022-03-19 02:22:00,160,26.54651,-18.65026
2022-03-19 02:17:00,154,26.54706,-18.65173
2022-03-19 02:12:00,163,26.54752,-18.65318
2022-03-19 02:07:00,149,26.54805,-18.654770000000006
2022-03-19 02:02:00,149,26.54845,-18.6561
2022-03-19 01:57:00,158,26.54893,-18.6575
2022-03-19 01:52:00,145,26.54931,-18.659
2022-03-19 01:47:00,134,26.54977,-18.66037
2022-03-19 01:42:00,127,26.55015,-18.66161
2022-03-19 01:37:00,139,26.550490000000003,-18.6628
2022-03-19 01:32:00,133,26.55083,-18.66416
2022-03-19 01:27:00,132,26.55115,-18.66539
2022-03-19 01:22:00,124,26.55146,-18.66662
2022-03-19 01:17:00,129,26.5517,-18.66786
2022-03-19 01:16:00,142,26.67145,-18.79637
2022-03-19 01:12:00,129,26.55194,-18.66912
2022-03-19 01:07:00,119,26.55215,-18.67035
2022-03-19 01:02:00,115,26.55236,-18.67155
2022-03-18 12:55:00,110,26.80298,-18.81447
2022-03-18 12:50:00,114,26.80312,-18.81339
2022-03-18 12:45:00,111,26.80328,-18.8123
2022-03-18 12:40:00,103,26.803490000000004,-18.81121
2022-03-18 12:35:00,108,26.8036,-18.81018
2022-03-18 12:30:00,91,26.8038,-18.80915
2022-03-18 12:25:00,107,26.80398,-18.80826
2022-03-18 12:24:00,155,26.97785,-18.73746
2022-03-18 12:20:00,96,26.80421,-18.80724
2022-03-18 12:19:00,173,26.97905,-18.73667
2022-03-18 12:15:00,103,26.80426,-18.8063
2022-03-18 12:14:00,152,26.98023,-18.7357
2022-03-18 12:10:00,123,26.804440000000003,-18.80533
2022-03-18 12:09:00,163,26.98137,-18.73487
2022-03-18 12:05:00,99,26.80479,-18.80431
2022-03-18 12:04:00,157,26.98253,-18.73398
2022-03-18 12:00:00,135,26.80512,-18.80344
2022-03-18 11:56:00,123,26.686,-18.80973
2022-03-18 11:55:00,116,26.80618,-18.80292
2022-03-18 11:51:00,132,26.68698,-18.81026
2022-03-18 11:50:00,120,26.80712,-18.80249
