TimeStamp,Pressure,Temperature,Conductivity,Latitude(deg),Longitude(deg)
2022-03-18 13:32:00,0.27,19.5326,4.970619999999999,26.80108,-18.82121
2022-03-18 13:31:00,0.27,19.5308,4.970619999999999,26.80109,-18.82104
2022-03-18 13:22:00,0.23,19.5409,4.97154,26.80171,-18.81947000000001
2022-03-18 13:21:00,0.2799999999999989,19.541,4.9716,26.80177,-18.81927
2022-03-18 13:12:00,0.220000000000001,19.5506,4.97277,26.802,-18.8177
2022-03-18 13:11:00,0.26,19.5575,4.9736,26.80204,-18.81757
2022-03-18 13:02:00,0.26,19.5481,4.97244,26.80269,-18.81583
2022-03-18 13:01:00,0.26,19.5584,4.97369,26.80271,-18.81569
2022-03-18 12:52:00,0.23,19.5652,4.9744,26.80309,-18.81376
2022-03-18 12:51:00,0.25,19.5746,4.97565,26.80311,-18.81355
2022-03-18 12:42:00,0.25,19.5713,4.97506,26.80344,-18.81157
2022-03-18 12:41:00,0.27,19.5601,4.97382,26.80348,-18.81136
2022-03-18 12:32:00,0.25,19.5578,4.97372,26.8037,-18.80951
2022-03-18 12:31:00,0.23,19.5596,4.9737800000000005,26.80375,-18.80929
2022-03-18 12:22:00,0.2799999999999989,19.5591,4.97395,26.80411,-18.80761
2022-03-18 12:21:00,0.26,19.5556,4.97344,26.80418,-18.80739
2022-03-18 12:12:00,0.25,19.5504,4.9729,26.80437,-18.80568
2022-03-18 12:11:00,0.24,19.5477,4.97259,26.80439,-18.80548
2022-03-18 12:02:00,0.2799999999999989,19.5433,4.972169999999998,26.80498,-18.80372
2022-03-18 12:01:00,0.26,19.5434,4.97202,26.80507,-18.80356
2022-03-18 11:52:00,0.310000000000001,19.5493,4.9725800000000016,26.80678,-18.80271
2022-03-18 11:51:00,0.26,19.5509,4.97304,26.80699000000001,-18.80258
2022-03-18 11:42:00,0.2799999999999989,19.5466,4.97232,26.80867000000001,-18.80159
2022-03-18 11:41:00,0.300000000000001,19.5464,4.97225,26.80889,-18.80145
2022-03-18 11:32:00,0.24,19.547,4.97236,26.81076,-18.8003
2022-03-18 11:31:00,0.300000000000001,19.5481,4.97229,26.81097,-18.80017
2022-03-18 11:22:00,0.23,19.5487,4.97268,26.812890000000003,-18.79902
2022-03-18 11:21:00,0.220000000000001,19.5497,4.97262,26.81316,-18.7989
2022-03-18 11:12:00,0.25,19.5406,4.97159,26.81518,-18.7979
2022-03-18 11:11:00,0.27,19.5432,4.97161,26.81538,-18.79781
2022-03-18 11:02:00,0.26,19.5364,4.97165,26.81731,-18.79651
2022-03-18 11:01:00,0.24,19.5332,4.97122,26.81753,-18.79635
2022-03-18 10:52:00,0.27,19.5363,4.9703300000000015,26.81948,-18.79515
2022-03-18 10:51:00,0.220000000000001,19.5318,4.97064,26.81975,-18.79503
2022-03-18 10:42:00,0.27,19.5316,4.97055,26.8219,-18.79401
2022-03-18 10:41:00,0.27,19.5302,4.97026,26.82213,-18.79396
2022-03-18 10:32:00,0.25,19.5247,4.96974,26.82448,-18.79305
2022-03-18 10:31:00,0.300000000000001,19.5248,4.96979,26.82474,-18.79293
2022-03-18 10:22:00,0.23,19.5253,4.970269999999998,26.827,-18.79165
2022-03-18 10:21:00,0.23,19.5242,4.97011,26.82722,-18.79154
2022-03-18 10:12:00,0.310000000000001,19.5284,4.97032,26.829590000000003,-18.79061
2022-03-18 10:11:00,0.290000000000001,19.5249,4.96999,26.82987,-18.79047000000001
2022-03-18 10:02:00,0.23,19.5117,4.96822,26.83223,-18.78958
2022-03-18 10:01:00,0.290000000000001,19.5135,4.96839,26.83248,-18.78947
2022-03-18 09:52:00,0.27,19.4983,4.96701,26.834740000000004,-18.78841
2022-03-18 09:51:00,0.24,19.5193,4.9691,26.83498,-18.78833
2022-03-18 09:42:00,0.25,19.5073,4.9674,26.8373,-18.78766
2022-03-18 09:41:00,0.25,19.4941,4.9660400000000005,26.8375,-18.78756
2022-03-18 09:32:00,0.25,19.4878,4.9649199999999984,26.83974000000001,-18.78704
2022-03-18 09:31:00,0.27,19.4818,4.96424,26.839990000000004,-18.78699
2022-03-18 09:22:00,0.2799999999999989,19.4798,4.96408,26.84249,-18.78626
2022-03-18 09:21:00,0.26,19.4801,4.96413,26.84277,-18.7862
2022-03-18 09:12:00,0.300000000000001,19.4621,4.96125,26.84522,-18.78579
2022-03-18 09:11:00,0.24,19.4611,4.961119999999998,26.84549,-18.78572
2022-03-18 09:02:00,0.26,19.4655,4.96128,26.84811,-18.78507
2022-03-18 09:01:00,0.26,19.4538,4.96002,26.8484,-18.78501
2022-03-18 08:52:00,0.25,19.4187,4.95528,26.85092,-18.78474
2022-03-18 08:51:00,0.26,19.4143,4.95457,26.85123,-18.7847
2022-03-18 08:42:00,0.25,19.4107,4.95389,26.85381,-18.78431
2022-03-18 08:41:00,0.2799999999999989,19.4068,4.95348,26.85403,-18.78432
2022-03-18 08:32:00,0.23,19.4001,4.95271,26.85683,-18.78403
2022-03-18 08:31:00,0.210000000000001,19.409,4.95383,26.85703,-18.78398
2022-03-18 08:22:00,0.23,19.4083,4.95326,26.85962,-18.78367
2022-03-18 08:21:00,0.27,19.4073,4.95309,26.85986,-18.78363
2022-03-18 08:12:00,0.25,19.3923,4.9509300000000005,26.86233,-18.78363
2022-03-18 08:11:00,0.23,19.3822,4.94956,26.86261,-18.78364
2022-03-18 08:02:00,0.27,19.3689,4.94801,26.86502,-18.78377
2022-03-18 08:01:00,0.25,19.3806,4.94905,26.86527,-18.78373
2022-03-18 07:52:00,0.24,19.3848,4.95011,26.86757,-18.78403
2022-03-18 07:51:00,0.27,19.3896,4.95077,26.86785,-18.78406
2022-03-18 07:42:00,0.24,19.3658,4.94764,26.87023,-18.78374
2022-03-18 07:41:00,0.220000000000001,19.3615,4.9472,26.8705,-18.78373
2022-03-18 07:32:00,0.26,19.3656,4.94751,26.87293,-18.78346
2022-03-18 07:31:00,0.26,19.3451,4.94541,26.87319,-18.78345
2022-03-18 07:22:00,0.24,19.3636,4.94725,26.87558,-18.78314
2022-03-18 07:21:00,0.24,19.3564,4.94645,26.8758,-18.78306
2022-03-18 07:12:00,0.24,19.3374,4.94425,26.87821,-18.78278
2022-03-18 07:11:00,0.210000000000001,19.3565,4.94658,26.87845,-18.78275
2022-03-18 07:02:00,0.220000000000001,19.335,4.94325,26.88084000000001,-18.78259
2022-03-18 07:01:00,0.27,19.3261,4.9425,26.881,-18.78252
2022-03-18 06:52:00,0.25,19.3534,4.94568,26.88338,-18.78221
2022-03-18 06:51:00,0.27,19.3317,4.94335,26.88353,-18.78221
2022-03-18 06:42:00,0.27,19.3378,4.9437,26.885890000000003,-18.78186
2022-03-18 06:41:00,0.24,19.3426,4.9441,26.88608,-18.78181
2022-03-18 06:32:00,0.24,19.3473,4.9451800000000015,26.88829,-18.781270000000006
2022-03-18 06:31:00,0.290000000000001,19.3607,4.94675,26.88856,-18.7812
2022-03-18 06:22:00,0.26,19.3526,4.94581,26.89087,-18.78044
2022-03-18 06:21:00,0.25,19.3623,4.9468,26.89116,-18.78033
2022-03-18 06:12:00,0.310000000000001,19.3436,4.9447199999999984,26.89335,-18.77992
2022-03-18 06:11:00,0.220000000000001,19.3624,4.94667,26.89361,-18.77986
2022-03-18 06:02:00,0.27,19.3366,4.9436,26.89578,-18.77943
2022-03-18 06:01:00,0.290000000000001,19.3397,4.94384,26.89602,-18.77939
2022-03-18 05:52:00,0.23,19.3332,4.94326,26.89812,-18.77913
2022-03-18 05:51:00,0.210000000000001,19.3484,4.94485,26.8984,-18.77913
2022-03-18 05:42:00,0.24,19.3371,4.94306,26.900540000000003,-18.77886
2022-03-18 05:41:00,0.220000000000001,19.3245,4.94177,26.90072,-18.7788
2022-03-18 05:32:00,0.2799999999999989,19.3311,4.9425300000000005,26.90288,-18.77826
2022-03-18 05:31:00,0.25,19.3254,4.94194,26.90316,-18.77816
2022-03-18 05:22:00,0.23,19.3517,4.9455,26.90548,-18.77743
2022-03-18 05:21:00,0.26,19.3558,4.94583,26.90572,-18.77729
2022-03-18 05:12:00,0.220000000000001,19.3639,4.94689,26.90802,-18.77637
2022-03-18 05:11:00,0.200000000000001,19.3603,4.94648,26.90831,-18.77626
2022-03-18 05:02:00,0.2799999999999989,19.3754,4.94877,26.91047,-18.77574
2022-03-18 05:01:00,0.220000000000001,19.3686,4.9480900000000005,26.91072,-18.77565
2022-03-18 04:52:00,0.25,19.3877,4.95017,26.91308,-18.77475
2022-03-18 04:51:00,0.26,19.3809,4.94953,26.91333,-18.77464
2022-03-18 04:42:00,0.290000000000001,19.3926,4.95161,26.91558,-18.77401
2022-03-18 04:41:00,0.23,19.404,4.95287,26.91582,-18.77394
2022-03-18 04:32:00,0.27,19.3962,4.951919999999999,26.917890000000003,-18.77335
2022-03-18 04:31:00,0.23,19.4083,4.953069999999999,26.91811,-18.77324
2022-03-18 04:22:00,0.220000000000001,19.3926,4.95136,26.92053,-18.77212
2022-03-18 04:21:00,0.23,19.3963,4.951919999999999,26.92077,-18.77203
2022-03-18 04:12:00,0.200000000000001,19.4089,4.9535,26.92306,-18.77114
2022-03-18 04:11:00,0.200000000000001,19.4093,4.95345,26.9233,-18.77108
2022-03-18 04:02:00,0.290000000000001,19.4148,4.95413,26.92552,-18.77019
2022-03-18 04:01:00,0.26,19.4175,4.95443,26.9258,-18.77004
2022-03-18 03:52:00,0.220000000000001,19.4078,4.95342,26.92809,-18.7689
2022-03-18 03:51:00,0.26,19.4071,4.95338,26.92822,-18.76882
2022-03-18 03:42:00,0.210000000000001,19.4228,4.95514,26.93043,-18.76781
2022-03-18 03:41:00,0.26,19.4242,4.95507,26.93069,-18.76768
2022-03-18 03:32:00,0.24,19.4224,4.95516,26.9327,-18.76674
2022-03-18 03:31:00,0.26,19.4412,4.9572,26.93297,-18.76665
2022-03-18 03:22:00,0.2799999999999989,19.4289,4.95581,26.93525,-18.76542
2022-03-18 03:21:00,0.24,19.4233,4.95532,26.93551,-18.76527
2022-03-18 03:12:00,0.25,19.433,4.95624,26.93781,-18.76411
2022-03-18 03:11:00,0.25,19.4342,4.95622,26.93798,-18.764
2022-03-18 03:02:00,0.25,19.432,4.9562,26.94003,-18.76267
2022-03-18 03:01:00,0.24,19.4252,4.95565,26.94022,-18.76251
2022-03-18 02:52:00,0.26,19.4287,4.95644,26.94231,-18.76145
2022-03-18 02:51:00,0.200000000000001,19.4222,4.95584,26.94251,-18.76135
2022-03-18 02:42:00,0.25,19.4513,4.9599,26.94467,-18.76036
2022-03-18 02:41:00,0.25,19.4385,4.95863,26.94483,-18.76015
2022-03-18 02:32:00,0.310000000000001,19.4443,4.95946,26.94702,-18.75909
2022-03-18 02:31:00,0.26,19.4546,4.9604,26.94731,-18.75893
2022-03-18 02:22:00,0.27,19.4506,4.9604,26.94939,-18.75791
2022-03-18 02:21:00,0.26,19.4683,4.96247,26.94961,-18.75767
2022-03-18 02:12:00,0.24,19.4976,4.96582,26.95177,-18.75651
2022-03-18 02:11:00,0.310000000000001,19.4938,4.9654300000000005,26.952,-18.75636
