TimeStamp,Oxygen,Salinity (PSU),DO,Latitude(deg),Longitude(deg)
2022-03-18 13:51:00,3664.6,36.879,104.05622012700996,26.80014000000001,-18.82426
2022-03-18 13:42:00,3624.6,36.8784,102.58190706182482,26.80047,-18.82282
2022-03-18 13:41:00,3618.2,36.8784,102.60440574107336,26.80054,-18.82266
2022-03-18 13:32:00,3672.5,36.8802,104.85297998710419,26.80108,-18.82121
2022-03-18 13:31:00,3720.8,36.8818,106.1577630714553,26.80109,-18.82104
2022-03-18 13:22:00,3545.6,36.8806,100.63167157812508,26.80171,-18.81947000000001
2022-03-18 13:21:00,3575.5,36.881,102.41841744746615,26.80177,-18.81927
2022-03-18 13:12:00,3641.4,36.8823,103.0314172587827,26.802,-18.8177
2022-03-18 13:11:00,3604.1,36.8831,102.80179050418757,26.80204,-18.81757
2022-03-18 13:02:00,3760.1,36.8817,107.032795710073,26.80269,-18.81583
2022-03-18 13:01:00,3705.4,36.883,105.54881222980777,26.80271,-18.81569
2022-03-18 12:52:00,3623.8,36.883,102.75122285247946,26.80309,-18.81376
2022-03-18 12:51:00,3681.8,36.8851,104.7117337248645,26.80311,-18.81355
2022-03-18 12:42:00,3764.9,36.8831,106.96938580969334,26.80344,-18.81157
2022-03-18 12:41:00,3769.4,36.8826,107.48118036554365,26.80348,-18.81136
2022-03-18 12:32:00,3711.9,36.8838,105.52712833032388,26.8037,-18.80951
2022-03-18 12:31:00,3689.5,36.8827,104.53205696848657,26.80375,-18.80929
2022-03-18 12:22:00,3704.7,36.8846,105.91684015444926,26.80411,-18.80761
2022-03-18 12:21:00,3711.3,36.8834,105.70695826389108,26.80418,-18.80739
2022-03-18 12:12:00,3655.2,36.8835,103.98882412460857,26.80437,-18.80568
2022-03-18 12:11:00,3656.7,36.8833,103.83387831399034,26.80439,-18.80548
2022-03-18 12:02:00,3684.6,36.8837,105.36991082724346,26.80498,-18.80372
2022-03-18 12:01:00,3690.5,36.8824,105.1425598388825,26.80507,-18.80356
2022-03-18 11:52:00,3607.6,36.8818,103.87546555616593,26.80678,-18.80271
2022-03-18 11:51:00,3617.2,36.8842,103.15232591469518,26.80699000000001,-18.80258
2022-03-18 11:42:00,3568.7,36.882,102.2329850966867,26.80867000000001,-18.80159
2022-03-18 11:41:00,3607.8,36.8816,103.68505574248408,26.80889,-18.80145
2022-03-18 11:32:00,3657.0,36.882,103.8453388905157,26.81076,-18.8003
2022-03-18 11:31:00,3650.3,36.8805,104.840853855425,26.81097,-18.80017
2022-03-18 11:22:00,3603.7,36.8832,102.2019315222974,26.812890000000003,-18.79902
2022-03-18 11:21:00,3603.3,36.8818,101.99952788641556,26.81316,-18.7989
2022-03-18 11:12:00,3552.4,36.8813,101.20496519089619,26.81518,-18.7979
2022-03-18 11:11:00,3594.8,36.8791,102.75192776728282,26.81538,-18.79781
2022-03-18 11:02:00,3674.5,36.8855,104.69855551292514,26.81731,-18.79651
2022-03-18 11:01:00,3686.9,36.8847,104.64540292559245,26.81753,-18.79635
2022-03-18 10:52:00,3618.4,36.8745,103.40223323636931,26.81948,-18.79515
2022-03-18 10:51:00,3603.1,36.8811,101.99202136529551,26.81975,-18.79503
2022-03-18 10:42:00,3572.8,36.8805,102.14857436656229,26.8219,-18.79401
2022-03-18 10:41:00,3592.4,36.8794,102.68254786215613,26.82213,-18.79396
2022-03-18 10:32:00,3589.1,36.8799,102.19976859705422,26.82448,-18.79305
2022-03-18 10:31:00,3591.4,36.8802,103.23760605116027,26.82474,-18.79293
2022-03-18 10:22:00,3561.6,36.8838,101.05353759190213,26.827,-18.79165
2022-03-18 10:21:00,3637.1,36.8834,103.10132314277968,26.82722,-18.79154
2022-03-18 10:12:00,3639.7,36.8814,104.74040483402474,26.829590000000003,-18.79061
2022-03-18 10:11:00,3597.8,36.8818,103.21168984371155,26.82987,-18.79047000000001
2022-03-18 10:02:00,3628.0,36.8787,102.86426067300907,26.83223,-18.78958
2022-03-18 10:01:00,3629.9,36.8785,104.08753872384996,26.83248,-18.78947
2022-03-18 09:52:00,3654.0,36.8805,104.34128887489324,26.834740000000004,-18.78841
2022-03-18 09:51:00,3646.0,36.8793,103.54767983442201,26.83498,-18.78833
2022-03-18 09:42:00,3639.5,36.8758,103.57298887983447,26.8373,-18.78766
2022-03-18 09:41:00,3688.0,36.8761,104.8841009557003,26.8375,-18.78756
2022-03-18 09:32:00,3673.6,36.8723,104.5022958151512,26.83974000000001,-18.78704
2022-03-18 09:31:00,3675.5,36.8719,104.94304239769039,26.839990000000004,-18.78699
2022-03-18 09:22:00,3677.7,36.8724,105.19561389292802,26.84249,-18.78626
2022-03-18 09:21:00,3698.1,36.8725,105.35908323777882,26.84277,-18.7862
2022-03-18 09:12:00,3614.6,36.8644,103.8898664232159,26.84522,-18.78579
2022-03-18 09:11:00,3605.9,36.8642,102.48643105855547,26.84549,-18.78572
2022-03-18 09:02:00,3656.2,36.8616,104.24826007140221,26.84811,-18.78507
2022-03-18 09:01:00,3694.6,36.8615,105.28722446623169,26.8484,-18.78501
2022-03-18 08:52:00,3735.6,36.8529,106.21983215181166,26.85092,-18.78474
2022-03-18 08:51:00,3697.2,36.8509,105.37633955334061,26.85123,-18.7847
2022-03-18 08:42:00,3715.7,36.8484,105.6901604810521,26.85381,-18.78431
2022-03-18 08:41:00,3736.4,36.8484,106.83315064300213,26.85403,-18.78432
2022-03-18 08:32:00,3749.4,36.8479,106.21544721142045,26.85683,-18.78403
2022-03-18 08:31:00,3749.2,36.8494,105.81974471676608,26.85703,-18.78398
2022-03-18 08:22:00,3697.6,36.8452,104.81890775153344,26.85962,-18.78367
2022-03-18 08:21:00,3671.8,36.8447,104.89609521868002,26.85986,-18.78363
2022-03-18 08:12:00,3509.3,36.8399,100.10620545095128,26.86233,-18.78363
2022-03-18 08:11:00,3611.0,36.8374,102.48328238378386,26.86261,-18.78364
2022-03-18 08:02:00,3609.4,36.8362,103.21473718865138,26.86502,-18.78377
2022-03-18 08:01:00,3597.1,36.8345,102.50088036148176,26.86527,-18.78373
2022-03-18 07:52:00,3609.3,36.8397,102.62546253021604,26.86757,-18.78403
2022-03-18 07:51:00,3618.7,36.8409,103.46026250587798,26.86785,-18.78406
2022-03-18 07:42:00,3655.0,36.8358,103.87191635728286,26.87023,-18.78374
2022-03-18 07:41:00,3587.7,36.836,101.65609857422089,26.8705,-18.78373
2022-03-18 07:32:00,3633.5,36.8349,103.67791915423689,26.87293,-18.78346
2022-03-18 07:31:00,3635.9,36.8355,103.73613693510336,26.87319,-18.78345
2022-03-18 07:22:00,3694.7,36.8345,104.95268419031072,26.87558,-18.78314
2022-03-18 07:21:00,3698.0,36.8342,105.04136379047733,26.8758,-18.78306
2022-03-18 07:12:00,3674.1,36.8326,104.39228326584602,26.87821,-18.78278
2022-03-18 07:11:00,3668.0,36.8352,103.64352888671708,26.87845,-18.78275
2022-03-18 07:02:00,3697.1,36.8263,104.64662570798588,26.88084000000001,-18.78259
2022-03-18 07:01:00,3683.4,36.8279,105.23461052928079,26.881,-18.78252
2022-03-18 06:52:00,3698.6,36.8304,105.26082708414789,26.88338,-18.78221
2022-03-18 06:51:00,3669.1,36.8301,104.84187878734785,26.88353,-18.78221
2022-03-18 06:42:00,3648.0,36.8276,104.277348675602,26.885890000000003,-18.78186
2022-03-18 06:41:00,3665.9,36.8267,104.18684787343965,26.88608,-18.78181
2022-03-18 06:32:00,3631.9,36.8316,103.25161229822217,26.88829,-18.781270000000006
2022-03-18 06:31:00,3630.5,36.8329,104.18137346879286,26.88856,-18.7812
2022-03-18 06:22:00,3687.8,36.8322,105.15602371748633,26.89087,-18.78044
2022-03-18 06:21:00,3711.5,36.8319,105.60920219544744,26.89116,-18.78033
2022-03-18 06:12:00,3688.9,36.831,106.15399203920612,26.89335,-18.77992
2022-03-18 06:11:00,3688.9,36.8307,104.41801985978005,26.89361,-18.77986
2022-03-18 06:02:00,3702.0,36.8278,105.74277035607882,26.89578,-18.77943
2022-03-18 06:01:00,3710.0,36.8271,106.34954338251724,26.89602,-18.77939
2022-03-18 05:52:00,3686.9,36.828,104.55796433713478,26.89812,-18.77913
2022-03-18 05:51:00,3676.0,36.8279,103.87879291177615,26.8984,-18.77913
2022-03-18 05:42:00,3643.8,36.8229,103.59563054245051,26.900540000000003,-18.77886
2022-03-18 05:41:00,3694.5,36.8232,104.58215973212542,26.90072,-18.7788
2022-03-18 05:32:00,3701.8,36.8237,105.94035731280668,26.90288,-18.77826
2022-03-18 05:31:00,3698.9,36.8239,105.27970012043808,26.90316,-18.77816
2022-03-18 05:22:00,3684.3,36.8304,104.4851018692819,26.90548,-18.77743
2022-03-18 05:21:00,3676.7,36.8295,104.86280708089981,26.90572,-18.77729
2022-03-18 05:12:00,3693.2,36.8312,104.53373900957884,26.90802,-18.77637
